library_pn,official_pin,mil_spec,slash_sheet,dash,common_name,gender,contacts,connector_type,density,shell_size,shell_letter,pin_count,contact_size,finish,finish_name,class
M24308_3-1K,M24308/3-1K,MIL-DTL-24308,3,1,DE-9 (DB-9),Plug,pin,Solder Cup,Standard,1,E,9,20,K,zinc nickel,G
M24308_3-1T,M24308/3-1T,MIL-DTL-24308,3,1,DE-9 (DB-9),Plug,pin,Solder Cup,Standard,1,E,9,20,T,nickel fluorocarbon polymer,G
M24308_3-1Z,M24308/3-1Z,MIL-DTL-24308,3,1,DE-9 (DB-9),Plug,pin,Solder Cup,Standard,1,E,9,20,Z,zinc,G
M24308_3-2A,M24308/3-2A,MIL-DTL-24308,3,2,DA-15,Plug,pin,Solder Cup,Standard,2,A,15,20,A,pure electrodeposited aluminum,G
M24308_3-2F,M24308/3-2F,MIL-DTL-24308,3,2,DA-15,Plug,pin,Solder Cup,Standard,2,A,15,20,F,cadmium,G
M24308_3-2K,M24308/3-2K,MIL-DTL-24308,3,2,DA-15,Plug,pin,Solder Cup,Standard,2,A,15,20,K,zinc nickel,G
M24308_3-2T,M24308/3-2T,MIL-DTL-24308,3,2,DA-15,Plug,pin,Solder Cup,Standard,2,A,15,20,T,nickel fluorocarbon polymer,G
M24308_3-2Z,M24308/3-2Z,MIL-DTL-24308,3,2,DA-15,Plug,pin,Solder Cup,Standard,2,A,15,20,Z,zinc,G
M24308_3-3A,M24308/3-3A,MIL-DTL-24308,3,3,DB-25,Plug,pin,Solder Cup,Standard,3,B,25,20,A,pure electrodeposited aluminum,G
M24308_3-3F,M24308/3-3F,MIL-DTL-24308,3,3,DB-25,Plug,pin,Solder Cup,Standard,3,B,25,20,F,cadmium,G
M24308_3-3K,M24308/3-3K,MIL-DTL-24308,3,3,DB-25,Plug,pin,Solder Cup,Standard,3,B,25,20,K,zinc nickel,G
M24308_3-3T,M24308/3-3T,MIL-DTL-24308,3,3,DB-25,Plug,pin,Solder Cup,Standard,3,B,25,20,T,nickel fluorocarbon polymer,G
M24308_3-3Z,M24308/3-3Z,MIL-DTL-24308,3,3,DB-25,Plug,pin,Solder Cup,Standard,3,B,25,20,Z,zinc,G
M24308_3-4A,M24308/3-4A,MIL-DTL-24308,3,4,DC-37,Plug,pin,Solder Cup,Standard,4,C,37,20,A,pure electrodeposited aluminum,G
M24308_3-4F,M24308/3-4F,MIL-DTL-24308,3,4,DC-37,Plug,pin,Solder Cup,Standard,4,C,37,20,F,cadmium,G
M24308_3-4K,M24308/3-4K,MIL-DTL-24308,3,4,DC-37,Plug,pin,Solder Cup,Standard,4,C,37,20,K,zinc nickel,G
M24308_3-4T,M24308/3-4T,MIL-DTL-24308,3,4,DC-37,Plug,pin,Solder Cup,Standard,4,C,37,20,T,nickel fluorocarbon polymer,G
M24308_3-4Z,M24308/3-4Z,MIL-DTL-24308,3,4,DC-37,Plug,pin,Solder Cup,Standard,4,C,37,20,Z,zinc,G
M24308_3-5A,M24308/3-5A,MIL-DTL-24308,3,5,DD-50,Plug,pin,Solder Cup,Standard,5,D,50,20,A,pure electrodeposited aluminum,G
M24308_3-5F,M24308/3-5F,MIL-DTL-24308,3,5,DD-50,Plug,pin,Solder Cup,Standard,5,D,50,20,F,cadmium,G
M24308_3-5K,M24308/3-5K,MIL-DTL-24308,3,5,DD-50,Plug,pin,Solder Cup,Standard,5,D,50,20,K,zinc nickel,G
M24308_3-5T,M24308/3-5T,MIL-DTL-24308,3,5,DD-50,Plug,pin,Solder Cup,Standard,5,D,50,20,T,nickel fluorocarbon polymer,G
M24308_3-5Z,M24308/3-5Z,MIL-DTL-24308,3,5,DD-50,Plug,pin,Solder Cup,Standard,5,D,50,20,Z,zinc,G
M24308_4-1A,M24308/4-1A,MIL-DTL-24308,4,1,DE-9 (DB-9),Plug,pin,Crimp,Standard,1,E,9,20,A,pure electrodeposited aluminum,G
M24308_4-1F,M24308/4-1F,MIL-DTL-24308,4,1,DE-9 (DB-9),Plug,pin,Crimp,Standard,1,E,9,20,F,cadmium,G
M24308_4-1K,M24308/4-1K,MIL-DTL-24308,4,1,DE-9 (DB-9),Plug,pin,Crimp,Standard,1,E,9,20,K,zinc nickel,G
M24308_4-1T,M24308/4-1T,MIL-DTL-24308,4,1,DE-9 (DB-9),Plug,pin,Crimp,Standard,1,E,9,20,T,nickel fluorocarbon polymer,G
M24308_4-1Z,M24308/4-1Z,MIL-DTL-24308,4,1,DE-9 (DB-9),Plug,pin,Crimp,Standard,1,E,9,20,Z,zinc,G
M24308_4-2A,M24308/4-2A,MIL-DTL-24308,4,2,DA-15,Plug,pin,Crimp,Standard,2,A,15,20,A,pure electrodeposited aluminum,G
M24308_4-2F,M24308/4-2F,MIL-DTL-24308,4,2,DA-15,Plug,pin,Crimp,Standard,2,A,15,20,F,cadmium,G
M24308_4-2K,M24308/4-2K,MIL-DTL-24308,4,2,DA-15,Plug,pin,Crimp,Standard,2,A,15,20,K,zinc nickel,G
M24308_4-2T,M24308/4-2T,MIL-DTL-24308,4,2,DA-15,Plug,pin,Crimp,Standard,2,A,15,20,T,nickel fluorocarbon polymer,G
M24308_4-2Z,M24308/4-2Z,MIL-DTL-24308,4,2,DA-15,Plug,pin,Crimp,Standard,2,A,15,20,Z,zinc,G
M24308_4-3A,M24308/4-3A,MIL-DTL-24308,4,3,DB-25,Plug,pin,Crimp,Standard,3,B,25,20,A,pure electrodeposited aluminum,G
M24308_4-3F,M24308/4-3F,MIL-DTL-24308,4,3,DB-25,Plug,pin,Crimp,Standard,3,B,25,20,F,cadmium,G
M24308_4-3K,M24308/4-3K,MIL-DTL-24308,4,3,DB-25,Plug,pin,Crimp,Standard,3,B,25,20,K,zinc nickel,G
M24308_4-3T,M24308/4-3T,MIL-DTL-24308,4,3,DB-25,Plug,pin,Crimp,Standard,3,B,25,20,T,nickel fluorocarbon polymer,G
M24308_4-3Z,M24308/4-3Z,MIL-DTL-24308,4,3,DB-25,Plug,pin,Crimp,Standard,3,B,25,20,Z,zinc,G
M24308_4-4A,M24308/4-4A,MIL-DTL-24308,4,4,DC-37,Plug,pin,Crimp,Standard,4,C,37,20,A,pure electrodeposited aluminum,G
M24308_4-4F,M24308/4-4F,MIL-DTL-24308,4,4,DC-37,Plug,pin,Crimp,Standard,4,C,37,20,F,cadmium,G
M24308_4-4K,M24308/4-4K,MIL-DTL-24308,4,4,DC-37,Plug,pin,Crimp,Standard,4,C,37,20,K,zinc nickel,G
M24308_4-4T,M24308/4-4T,MIL-DTL-24308,4,4,DC-37,Plug,pin,Crimp,Standard,4,C,37,20,T,nickel fluorocarbon polymer,G
M24308_4-4Z,M24308/4-4Z,MIL-DTL-24308,4,4,DC-37,Plug,pin,Crimp,Standard,4,C,37,20,Z,zinc,G
M24308_4-5A,M24308/4-5A,MIL-DTL-24308,4,5,DD-50,Plug,pin,Crimp,Standard,5,D,50,20,A,pure electrodeposited aluminum,G
M24308_4-5F,M24308/4-5F,MIL-DTL-24308,4,5,DD-50,Plug,pin,Crimp,Standard,5,D,50,20,F,cadmium,G
M24308_4-5K,M24308/4-5K,MIL-DTL-24308,4,5,DD-50,Plug,pin,Crimp,Standard,5,D,50,20,K,zinc nickel,G
M24308_4-5T,M24308/4-5T,MIL-DTL-24308,4,5,DD-50,Plug,pin,Crimp,Standard,5,D,50,20,T,nickel fluorocarbon polymer,G
M24308_4-5Z,M24308/4-5Z,MIL-DTL-24308,4,5,DD-50,Plug,pin,Crimp,Standard,5,D,50,20,Z,zinc,G
M24308_4-11A,M24308/4-11A,MIL-DTL-24308,4,11,DE-15 HD,Plug,pin,Crimp,High,1,E,15,22,A,pure electrodeposited aluminum,G
M24308_4-11F,M24308/4-11F,MIL-DTL-24308,4,11,DE-15 HD,Plug,pin,Crimp,High,1,E,15,22,F,cadmium,G
M24308_4-11K,M24308/4-11K,MIL-DTL-24308,4,11,DE-15 HD,Plug,pin,Crimp,High,1,E,15,22,K,zinc nickel,G
M24308_4-11T,M24308/4-11T,MIL-DTL-24308,4,11,DE-15 HD,Plug,pin,Crimp,High,1,E,15,22,T,nickel fluorocarbon polymer,G
M24308_4-11Z,M24308/4-11Z,MIL-DTL-24308,4,11,DE-15 HD,Plug,pin,Crimp,High,1,E,15,22,Z,zinc,G
M24308_4-12A,M24308/4-12A,MIL-DTL-24308,4,12,DA-26 HD,Plug,pin,Crimp,High,2,A,26,22,A,pure electrodeposited aluminum,G
M24308_4-12F,M24308/4-12F,MIL-DTL-24308,4,12,DA-26 HD,Plug,pin,Crimp,High,2,A,26,22,F,cadmium,G
M24308_4-12K,M24308/4-12K,MIL-DTL-24308,4,12,DA-26 HD,Plug,pin,Crimp,High,2,A,26,22,K,zinc nickel,G
M24308_4-12T,M24308/4-12T,MIL-DTL-24308,4,12,DA-26 HD,Plug,pin,Crimp,High,2,A,26,22,T,nickel fluorocarbon polymer,G
M24308_4-12Z,M24308/4-12Z,MIL-DTL-24308,4,12,DA-26 HD,Plug,pin,Crimp,High,2,A,26,22,Z,zinc,G
M24308_4-13A,M24308/4-13A,MIL-DTL-24308,4,13,DB-44 HD,Plug,pin,Crimp,High,3,B,44,22,A,pure electrodeposited aluminum,G
M24308_4-13F,M24308/4-13F,MIL-DTL-24308,4,13,DB-44 HD,Plug,pin,Crimp,High,3,B,44,22,F,cadmium,G
M24308_4-13K,M24308/4-13K,MIL-DTL-24308,4,13,DB-44 HD,Plug,pin,Crimp,High,3,B,44,22,K,zinc nickel,G
M24308_4-13T,M24308/4-13T,MIL-DTL-24308,4,13,DB-44 HD,Plug,pin,Crimp,High,3,B,44,22,T,nickel fluorocarbon polymer,G
M24308_4-13Z,M24308/4-13Z,MIL-DTL-24308,4,13,DB-44 HD,Plug,pin,Crimp,High,3,B,44,22,Z,zinc,G
M24308_4-14A,M24308/4-14A,MIL-DTL-24308,4,14,DC-62 HD,Plug,pin,Crimp,High,4,C,62,22,A,pure electrodeposited aluminum,G
M24308_4-14F,M24308/4-14F,MIL-DTL-24308,4,14,DC-62 HD,Plug,pin,Crimp,High,4,C,62,22,F,cadmium,G
M24308_4-14K,M24308/4-14K,MIL-DTL-24308,4,14,DC-62 HD,Plug,pin,Crimp,High,4,C,62,22,K,zinc nickel,G
M24308_4-14T,M24308/4-14T,MIL-DTL-24308,4,14,DC-62 HD,Plug,pin,Crimp,High,4,C,62,22,T,nickel fluorocarbon polymer,G
M24308_4-14Z,M24308/4-14Z,MIL-DTL-24308,4,14,DC-62 HD,Plug,pin,Crimp,High,4,C,62,22,Z,zinc,G
M24308_4-15A,M24308/4-15A,MIL-DTL-24308,4,15,DD-78 HD,Plug,pin,Crimp,High,5,D,78,22,A,pure electrodeposited aluminum,G
M24308_4-15F,M24308/4-15F,MIL-DTL-24308,4,15,DD-78 HD,Plug,pin,Crimp,High,5,D,78,22,F,cadmium,G
M24308_4-15K,M24308/4-15K,MIL-DTL-24308,4,15,DD-78 HD,Plug,pin,Crimp,High,5,D,78,22,K,zinc nickel,G
M24308_4-15T,M24308/4-15T,MIL-DTL-24308,4,15,DD-78 HD,Plug,pin,Crimp,High,5,D,78,22,T,nickel fluorocarbon polymer,G
M24308_4-15Z,M24308/4-15Z,MIL-DTL-24308,4,15,DD-78 HD,Plug,pin,Crimp,High,5,D,78,22,Z,zinc,G
M24308_4-16A,M24308/4-16A,MIL-DTL-24308,4,16,HD-104,Plug,pin,Crimp,High,6,,104,22,A,pure electrodeposited aluminum,G
M24308_4-16F,M24308/4-16F,MIL-DTL-24308,4,16,HD-104,Plug,pin,Crimp,High,6,,104,22,F,cadmium,G
M24308_4-16K,M24308/4-16K,MIL-DTL-24308,4,16,HD-104,Plug,pin,Crimp,High,6,,104,22,K,zinc nickel,G
M24308_4-16T,M24308/4-16T,MIL-DTL-24308,4,16,HD-104,Plug,pin,Crimp,High,6,,104,22,T,nickel fluorocarbon polymer,G
M24308_4-16Z,M24308/4-16Z,MIL-DTL-24308,4,16,HD-104,Plug,pin,Crimp,High,6,,104,22,Z,zinc,G
