part_number,official_pin,rev,slash,gauge_awg,color_code,color_name,specification,insulation,insulation_detail,wall,plating,conductor,conductor_material,stranding,conductor_od_in,wire_od_in,insulation_wall_in,weight_lb_per_kft,resistance_ohm_per_kft,temperature_c,voltage_v,m27500_symbol,datasheet,path
M22759_11-14-7,M22759/11-14-7,1,11,14,7,violet,MIL-DTL-22759/11,PTFE,"extruded PTFE, medium weight",medium,silver,copper,silver-coated copper,19x27,0.0670,0.090,0.0115,15.1,2.88,200,600,RC,https://www.ryanelectronics.com/products/m2275911/,M22759_11-14-7/M22759_11-14-7-rev1
M22759_11-14-8,M22759/11-14-8,1,11,14,8,gray,MIL-DTL-22759/11,PTFE,"extruded PTFE, medium weight",medium,silver,copper,silver-coated copper,19x27,0.0670,0.090,0.0115,15.1,2.88,200,600,RC,https://www.ryanelectronics.com/products/m2275911/,M22759_11-14-8/M22759_11-14-8-rev1
M22759_11-14-9,M22759/11-14-9,1,11,14,9,white,MIL-DTL-22759/11,PTFE,"extruded PTFE, medium weight",medium,silver,copper,silver-coated copper,19x27,0.0670,0.090,0.0115,15.1,2.88,200,600,RC,https://www.ryanelectronics.com/products/m2275911/,M22759_11-14-9/M22759_11-14-9-rev1
M22759_11-14-90,M22759/11-14-90,1,11,14,90,white/black,MIL-DTL-22759/11,PTFE,"extruded PTFE, medium weight",medium,silver,copper,silver-coated copper,19x27,0.0670,0.090,0.0115,15.1,2.88,200,600,RC,https://www.ryanelectronics.com/products/m2275911/,M22759_11-14-90/M22759_11-14-90-rev1
M22759_11-14-91,M22759/11-14-91,1,11,14,91,white/brown,MIL-DTL-22759/11,PTFE,"extruded PTFE, medium weight",medium,silver,copper,silver-coated copper,19x27,0.0670,0.090,0.0115,15.1,2.88,200,600,RC,https://www.ryanelectronics.com/products/m2275911/,M22759_11-14-91/M22759_11-14-91-rev1
M22759_11-14-92,M22759/11-14-92,1,11,14,92,white/red,MIL-DTL-22759/11,PTFE,"extruded PTFE, medium weight",medium,silver,copper,silver-coated copper,19x27,0.0670,0.090,0.0115,15.1,2.88,200,600,RC,https://www.ryanelectronics.com/products/m2275911/,M22759_11-14-92/M22759_11-14-92-rev1
M22759_11-14-93,M22759/11-14-93,1,11,14,93,white/orange,MIL-DTL-22759/11,PTFE,"extruded PTFE, medium weight",medium,silver,copper,silver-coated copper,19x27,0.0670,0.090,0.0115,15.1,2.88,200,600,RC,https://www.ryanelectronics.com/products/m2275911/,M22759_11-14-93/M22759_11-14-93-rev1
M22759_11-14-94,M22759/11-14-94,1,11,14,94,white/yellow,MIL-DTL-22759/11,PTFE,"extruded PTFE, medium weight",medium,silver,copper,silver-coated copper,19x27,0.0670,0.090,0.0115,15.1,2.88,200,600,RC,https://www.ryanelectronics.com/products/m2275911/,M22759_11-14-94/M22759_11-14-94-rev1
M22759_11-14-95,M22759/11-14-95,1,11,14,95,white/green,MIL-DTL-22759/11,PTFE,"extruded PTFE, medium weight",medium,silver,copper,silver-coated copper,19x27,0.0670,0.090,0.0115,15.1,2.88,200,600,RC,https://www.ryanelectronics.com/products/m2275911/,M22759_11-14-95/M22759_11-14-95-rev1
M22759_11-14-96,M22759/11-14-96,1,11,14,96,white/blue,MIL-DTL-22759/11,PTFE,"extruded PTFE, medium weight",medium,silver,copper,silver-coated copper,19x27,0.0670,0.090,0.0115,15.1,2.88,200,600,RC,https://www.ryanelectronics.com/products/m2275911/,M22759_11-14-96/M22759_11-14-96-rev1
M22759_11-14-97,M22759/11-14-97,1,11,14,97,white/violet,MIL-DTL-22759/11,PTFE,"extruded PTFE, medium weight",medium,silver,copper,silver-coated copper,19x27,0.0670,0.090,0.0115,15.1,2.88,200,600,RC,https://www.ryanelectronics.com/products/m2275911/,M22759_11-14-97/M22759_11-14-97-rev1
M22759_11-14-98,M22759/11-14-98,1,11,14,98,white/gray,MIL-DTL-22759/11,PTFE,"extruded PTFE, medium weight",medium,silver,copper,silver-coated copper,19x27,0.0670,0.090,0.0115,15.1,2.88,200,600,RC,https://www.ryanelectronics.com/products/m2275911/,M22759_11-14-98/M22759_11-14-98-rev1
